구분,지역,시험종류,연도,회차,시험구분,임용기관,직렬,직류,직급,대상,선발,접수,합격선,원본파일명
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,전산,전산개발,7급,장애인,3,10,57.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,전산,데이터,7급,장애인,1,1,,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,방송통신,전송기술,7급,장애인,2,2,57.33,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,1차-PSAT,공개경쟁,,외무영사,외무영사,7급,장애인,2,26,44.00,(붙임) 2023년도 국가직 7급 공채 제1차시험 합격선 및 합격자 통계 (1).pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,일반행정 전국,7급,일반,192,9822,81.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,우정사업본부,7급,일반,19,663,82.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,인사조직,7급,일반,4,585,83.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,재경,7급,일반,10,278,86.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,고용노동,7급,일반,18,714,87.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,교육행정,7급,일반,3,596,84.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,회계,7급,일반,3,93,79.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,행정,선거행정,7급,일반,18,865,86.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,세무,세무,7급,일반,82,3266,78.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,관세,관세,7급,일반,13,388,80.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,통계,통계,7급,일반,7,345,77.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,감사,감사,7급,일반,28,832,88.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,교정,교정,7급,일반,40,1286,79.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,보호,보호,7급,일반,5,172,81.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
B,국가직,공무원,2023,2차-전공,공개경쟁,,검찰,검찰,7급,일반,10,1474,92.00,(붙임) 2023년도 국가공무원 7급 공개경쟁채용 제2차시험 합격선 및 합격자 통계 .pdf
