지역,연도,회차,임용기관,직군,직렬,직류,대상,선발,접수,응시,합격선,원본파일명,중복그룹
서울,2023,2회,,기술직군,환경,일반환경,일반,1,90,39,77,서울 7급 현황+합격선 병합,중복10
서울,2023,2회,,기술직군,시설,일반토목,일반,24,369,163,68,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복11
서울,2023,2회,,기술직군,시설,일반토목,일반,24,369,163,68,서울 7급 현황+합격선 병합,중복11
서울,2023,2회,,기술직군,시설,일반토목,장애인,1,2,1,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복12
서울,2023,2회,,기술직군,시설,일반토목,장애인,1,2,1,,서울 7급 현황+합격선 병합,중복12
서울,2023,2회,,기술직군,시설,건축,일반,16,349,150,71,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복13
서울,2023,2회,,기술직군,시설,건축,일반,16,349,150,71,서울 7급 현황+합격선 병합,중복13
서울,2023,2회,,기술직군,시설,건축,장애인,1,4,1,,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복14
서울,2023,2회,,기술직군,시설,건축,장애인,1,4,1,,서울 7급 현황+합격선 병합,중복14
서울,2023,2회,,기술직군,방송통신,통신기술,일반,4,186,70,65,2023년도 제2회 서울특별시 지방공무원 임용시험 현황.xlsx,중복15
서울,2023,2회,,기술직군,방송통신,통신기술,일반,4,186,70,65,서울 7급 현황+합격선 병합,중복15
서울,2024,3회,,행정직군,행정,일반행정,일반,105,8594,4871,94,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복16
서울,2024,3회,,행정직군,행정,일반행정,일반,105,8594,4871,94,서울 7급 현황+합격선 병합,중복16
서울,2024,3회,,행정직군,행정,일반행정,지방의회,5,341,138,94,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복17
서울,2024,3회,,행정직군,행정,일반행정,지방의회,5,341,138,94,서울 7급 현황+합격선 병합,중복17
서울,2024,3회,,행정직군,행정,일반행정,장애인,5,128,62,82,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복18
서울,2024,3회,,행정직군,행정,일반행정,장애인,5,128,62,82,서울 7급 현황+합격선 병합,중복18
서울,2024,3회,,행정직군,세무,지방세,일반,9,1020,374,86,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복19
서울,2024,3회,,행정직군,세무,지방세,일반,9,1020,374,86,서울 7급 현황+합격선 병합,중복19
서울,2024,3회,,행정직군,세무,지방세,장애인,1,12,5,63,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복20
서울,2024,3회,,행정직군,세무,지방세,장애인,1,12,5,63,서울 7급 현황+합격선 병합,중복20
서울,2024,3회,,행정직군,전산,전산,일반,3,553,220,87,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복21
서울,2024,3회,,기술직군,전산,전산,일반,3,553,220,87,서울 7급 현황+합격선 병합,중복21
서울,2024,3회,,기술직군,공업,일반기계,일반,3,210,88,81,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복22
서울,2024,3회,,기술직군,공업,일반기계,일반,3,210,88,81,서울 7급 현황+합격선 병합,중복22
서울,2024,3회,,기술직군,공업,일반전기,일반,1,145,47,88,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복23
서울,2024,3회,,기술직군,공업,일반전기,일반,1,145,47,88,서울 7급 현황+합격선 병합,중복23
서울,2024,3회,,기술직군,공업,일반화공,일반,3,157,72,84,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복24
서울,2024,3회,,기술직군,공업,일반화공,일반,3,157,72,84,서울 7급 현황+합격선 병합,중복24
서울,2024,3회,,기술직군,녹지,산림자원,일반,4,170,72,86,2024년도 제3회 서울특별시 지방공무원 임용시험 현황.xlsx,중복25
